# unit_id table_fingerprint slot translate_x translate_y translate_z
# Generated from scene-graph parent links and per-LOD RealIndices.
00b63ce6d89d4622 3ac56ed2d18249cb 8 -0.04 +0 +0
00b63ce6d89d4622 3ac56ed2d18249cb 9 +0.04 +0 +0
00b63ce6d89d4622 3ac56ed2d18249cb 15 -0.04 +0 +0
00b63ce6d89d4622 3ac56ed2d18249cb 16 -0.02 +0 +0
00b63ce6d89d4622 3ac56ed2d18249cb 17 +0.04 +0 +0
00b63ce6d89d4622 3ac56ed2d18249cb 18 +0.06 +0 +0
00b63ce6d89d4622 3ac56ed2d18249cb 26 -0.02 +0 +0
00b63ce6d89d4622 3ac56ed2d18249cb 40 +0.02 +0 +0
00b63ce6d89d4622 3ac56ed2d18249cb 43 +0.02 +0 +0
00b63ce6d89d4622 3ac56ed2d18249cb 84 -0.06 +0 +0
05a4e2072be08edc 89d6483666638af9 7 -0.04 +0 +0
05a4e2072be08edc 89d6483666638af9 8 +0.04 +0 +0
05a4e2072be08edc 89d6483666638af9 18 -0.04 +0 +0
05a4e2072be08edc 89d6483666638af9 19 -0.02 +0 +0
05a4e2072be08edc 89d6483666638af9 20 +0.04 +0 +0
05a4e2072be08edc 89d6483666638af9 21 +0.06 +0 +0
05a4e2072be08edc 89d6483666638af9 28 -0.02 +0 +0
05a4e2072be08edc 89d6483666638af9 42 +0.02 +0 +0
05a4e2072be08edc 89d6483666638af9 45 +0.02 +0 +0
05a4e2072be08edc 89d6483666638af9 85 -0.06 +0 +0
05a4e2072be08edc b7f78abba86c7855 7 -0.04 +0 +0
05a4e2072be08edc b7f78abba86c7855 8 +0.04 +0 +0
05a4e2072be08edc b7f78abba86c7855 18 -0.04 +0 +0
05a4e2072be08edc b7f78abba86c7855 19 -0.02 +0 +0
05a4e2072be08edc b7f78abba86c7855 20 +0.04 +0 +0
05a4e2072be08edc b7f78abba86c7855 21 +0.06 +0 +0
05a4e2072be08edc b7f78abba86c7855 28 -0.02 +0 +0
05a4e2072be08edc b7f78abba86c7855 42 +0.02 +0 +0
05a4e2072be08edc b7f78abba86c7855 45 +0.02 +0 +0
05a4e2072be08edc b7f78abba86c7855 85 -0.06 +0 +0
09ea3d883a2da875 69be13c7ce33a8e3 9 -0.04 +0 +0
09ea3d883a2da875 69be13c7ce33a8e3 10 +0.04 +0 +0
09ea3d883a2da875 69be13c7ce33a8e3 19 -0.04 +0 +0
09ea3d883a2da875 69be13c7ce33a8e3 20 -0.02 +0 +0
09ea3d883a2da875 69be13c7ce33a8e3 21 +0.04 +0 +0
09ea3d883a2da875 69be13c7ce33a8e3 22 +0.06 +0 +0
09ea3d883a2da875 69be13c7ce33a8e3 28 -0.02 +0 +0
09ea3d883a2da875 69be13c7ce33a8e3 42 +0.02 +0 +0
09ea3d883a2da875 69be13c7ce33a8e3 45 +0.02 +0 +0
09ea3d883a2da875 69be13c7ce33a8e3 86 -0.06 +0 +0
09ea3d883a2da875 80a5aafb68886987 9 -0.04 +0 +0
09ea3d883a2da875 80a5aafb68886987 10 +0.04 +0 +0
